 ERB	 Fc	 rl	 rA	 rI	 Plin	 Ln	 NOS	 LTL	 SPL	 MOS_LQO
21.2593	12.0162	0	0	0	11.6545	17.2819	4.8341	45.598	78.88	3.273
22.1233	12.0408	0	0	0	8.5124	9.2487	2.6978	39.737	78.61	3.5264
22.0671	12.0354	0.002	0	0	5.8493	4.5639	1.6456	39.35	78.6	3.3479
14.9319	11.8187	0	0	0	28.0101	27.6421	5.4679	40.149	88.33	1.7144
17.5751	11.9729	0	0	0	16.1702	15.9263	4.4366	40.765	81.64	2.7603
20.8099	12.031	0	0	0	9.3375	8.4006	2.6694	39.775	78.95	3.4583
22.169	12.0327	0	0	0	5.79	4.2219	1.445	39.404	78.61	3.3063
14.4422	10.9084	0	0	0	37.2078	49.9782	12.1361	63.09	84.6	1.6287
17.4679	11.9596	0	0	0	34.9063	36.2285	10.7975	45.661	79.57	1.7357
20.1939	12.0042	0	0	0	20.113	20.5019	7.8812	41.454	78.7	2.4652
21.9451	12.0369	0	0	0	11.2271	10.9326	4.5618	39.956	78.6	3.3539
22.2457	12.039	0	0	0	5.9162	5.3139	2.4462	39.5	78.58	3.4215
16.0685	12.5541	0	0	0	41.0898	51.0262	11.4282	59.832	78.42	1.5452
22.1095	12.0395	0	0	0	31.5165	32.1783	9.7575	46.788	78.74	2.5124
22.1822	12.0401	0	0	0	18.8513	17.9218	7.225	41.423	78.59	2.5888
22.2215	12.0516	0	0	0	10.893	9.2648	4.2627	39.889	78.58	3.3865
22.0769	12.0343	0	0	0	5.8487	4.3157	2.4868	39.457	78.59	3.4644
15.3874	11.8834	0	0	0	47.8457	46.3104	14.4361	51.754	83.8	1.8182
17.6259	11.9266	0	0	0	33.3508	33.8349	12.8161	51.6	80.86	2.1199
20.4318	11.9897	0	0	0	19.1366	19.6742	9.4824	48.651	78.99	2.5696
21.8198	11.9947	0	0	0	10.3178	10.437	5.3763	47.099	78.6	3.3247
22.1513	12.0091	0	0	0	5.5108	4.851	2.5598	46.349	78.54	3.4504
20.1543	12.0448	0	0	0	46.4135	53.7904	15.7608	61.792	79.7	2.253
21.8517	12.0239	0	0	0	36.6787	36.5309	14.1543	55.335	78.99	2.253
22.0025	12.0172	0	0	0	22.1189	20.6491	10.4178	49.592	78.61	2.6144
22.196	12.013	0.001	0.1113	0	12.2775	10.817	6.2631	47.458	78.58	2.7148
22.2286	12.0018	0	0	0	6.271	5.1347	3.3071	46.745	78.54	3.858
13.8327	11.7378	0	0	0	36.4509	36.4103	10.5195	44.5	85.97	1.5029
17.949	11.924	0	0	0	22.9022	28.0893	9.5799	48.626	82.56	1.8484
20.8256	12.0035	0	0	0	12.1847	16.412	6.476	48.184	79.37	2.8645
22.1017	12.0104	0	0	0	7.6474	8.6895	3.7689	46.843	78.65	3.4275
22.185	12.0123	0	0	0	5.104	4.1825	1.9426	46.426	78.55	3.4779
14.9378	11.8194	0	0	0	20.8362	24.5636	7.1501	45.435	84.72	1.8544
18.9692	11.9542	0	0	0	11.4994	14.9328	4.9852	47.959	80.29	2.2915
22.1418	12.021	0	0	0	8.1039	7.8599	3.015	46.769	78.75	3.2652
22.165	12.0275	0	0	0	5.7237	3.9955	1.6224	46.389	78.55	3.161
10.6137	13.0716	0.006	1.9267	0	40.411	45.1277	8.0247	59.477	80.38	1.7664
14.9942	12.0198	0.0211	1.9584	0	32.0405	29.7866	10.0193	55.993	78.98	1.6728
22.1338	12.0136	0	0.2487	0	12.941	15.6779	5.1928	47.232	78.57	2.6787
22.1206	12.006	0	0	0	8.1578	7.9789	3.1975	46.745	78.54	3.1998
22.254	12.0032	0.001	0.1429	0	4.5255	3.7951	1.9639	46.498	78.53	3.4314
7.2165	8.9871	0	0	0	28.2002	34.14	10.0937	68.569	83.28	1.8963
17.5311	11.8545	0.003	0	0	18.5168	26.8286	8.0125	65.473	81.12	1.7127
21.4263	11.9909	0.003	0	0	12.4259	15.9744	5.478	50.129	79.01	2.0237
22.1232	12.0487	0.004	0	0	7.9896	8.1072	2.9865	46.712	78.58	1.9271
22.1574	12.0087	0.003	0	0	5.0738	3.9691	1.679	46.465	78.53	3.6501
13.9001	11.7322	0	0	0	26.9381	25.9382	6.5577	48.056	88.08	1.6096
17.1714	11.8599	0	0	0	14.7459	15.1391	5.1392	48.522	81.66	2.9224
19.5152	11.9548	0	0	0	8.2807	7.8928	3.0092	47.105	78.96	3.626
22.023	12.0018	0	0	0	5.4323	3.9411	1.5545	46.345	78.58	3.2252
11.667	14.0878	0	0	0	47.4696	49.3908	12.493	63.491	85.53	1.7568
17.7233	11.9522	0	0	0	31.1123	35.4747	12.6583	53.806	79.78	2.2168
20.1537	11.9937	0	0	0	18.5995	19.9477	9.0821	48.432	78.68	2.4836
21.6565	12.0024	0	0	0	10.3483	10.5695	5.1764	46.926	78.54	3.3233
22.1855	11.9997	0	0	0	5.1801	5.0466	2.6216	46.447	78.53	3.5288
14.3095	13.8176	0	0	0	42.1438	50.8844	11.9255	60.235	78.88	1.4978
21.7871	12.0134	0	0	0	31.3699	32.8224	11.244	51.171	78.8	2.3937
22.1336	12.016	0	0.4812	0	18.8774	18.2908	8.1091	48.117	78.58	2.5451
22.0439	12.0083	0.001	0.2026	0	10.2147	9.4565	4.8015	46.957	78.58	2.8909
22.2357	12.0123	0	0	0	5.2441	4.4491	2.5835	46.685	78.54	3.5288
13.1739	11.5715	0	0	0	42.7894	46.47	11.1709	53.288	83.99	1.4741
15.3173	11.8616	0	0	0	29.2519	33.6532	9.4119	53.419	81.04	1.7799
18.0999	11.9588	0	0	0	15.4779	19.3633	6.5344	50.349	79.22	1.7302
20.7533	11.9906	0	0	0	7.5534	10.2796	3.8303	49.113	78.94	3.6876
22.0804	12.0286	0	0	0	4.8959	4.7773	1.8481	48.827	78.92	3.359
17.8272	12.1043	0	0	0	44.6792	53.4482	12.4326	62.115	79.83	2.0226
20.1416	12.0385	0	0	0	38.2653	35.997	11.3102	56.155	79.3	2.3937
21.9932	12.0522	0	0	0	21.2167	20.3157	8.356	50.71	78.94	2.4093
22.2222	12.0523	0	0	0	9.2998	10.5934	4.5211	49.315	78.92	3.3836
22.0765	12.0451	0	0	0	5.1773	5.0384	2.1281	48.837	78.91	3.4344
10.5386	10.0837	0	0	0	31.3893	36.5524	7.0353	46.202	86.01	1.519
14.9568	11.905	0	0	0	18.5123	27.5535	6.0946	51.168	82.57	2.2417
18.1356	12.0041	0	0	0	11.3356	15.6496	4.0374	50.03	79.59	2.4475
21.8799	12.0289	0	0	0	6.9518	8.4454	2.5455	49.001	78.99	3.3271
22.0904	12.0612	0	0	0	4.7883	4.1236	1.4777	48.843	78.94	3.1677
15.3976	11.8081	0	0	0	18.4966	24.1281	4.5417	47.531	84.92	1.8094
18.2035	11.9268	0	0	0	10.4758	14.5032	2.9953	50.091	80.54	2.9672
20.9456	12.0232	0	0	0	7.4711	7.6396	1.9301	48.755	79.08	3.149
22.24	12.0463	0	0	0	5.4624	3.9431	1.3559	48.768	78.95	3.2133
10.6948	14.5305	0.005	2.4682	0	43.9891	49.4897	6.851	59.27	82.11	1.7664
22.1656	12.0462	0	0	0	22.2103	32.8502	5.4708	49.563	79.02	2.4262
22.2311	12.0524	0	0	0	10.6983	18.1575	3.4499	48.945	78.94	3.3452
22.2613	12.0593	0	0	0	5.8119	9.5172	1.9282	48.683	78.9	3.4253
22.2382	12.0483	0	0	0	3.9839	4.5918	1.1903	48.744	78.91	3.2857
11.6445	11.2138	0.005	0	0	21.0667	35.7908	8.6015	71.105	84.24	1.74
14.7937	11.8174	0	0	0	13.6904	25.5068	6.3148	67.541	81.47	2.7059
17.1827	11.9134	0	0	0	9.8704	14.6696	3.8223	54.414	79.31	2.9367
20.3194	11.9798	0	0	0	6.8856	7.6569	2.2578	48.919	78.95	3.1684
21.9972	12.0287	0	0	0	4.3158	3.6642	1.2809	48.831	78.93	3.3074
12.4955	11.6659	0	0	0	22.3055	26.7085	3.7817	48.457	88.17	1.9991
15.6024	11.911	0	0	0	12.6389	15.4102	2.8179	50.27	81.73	2.9178
18.5109	11.9921	0	0	0	8.118	8.096	1.7538	49.009	79.28	3.1017
21.1136	12.0159	0	0	0	5.0225	4.0685	1.1999	48.858	78.97	3.2062
10.8245	14.8778	0	0	0	44.8456	51.4191	10.1703	63.891	85.46	1.8668
16.4382	11.9281	0	0	0	31.8183	34.7984	9.3904	53.572	79.9	1.6022
19.0045	12.0069	0	0	0	17.4489	19.4575	6.7581	49.985	79.01	2.1152
21.6296	12.0162	0	0	0	7.7546	10.3014	3.8181	49.214	78.95	3.4275
22.2935	12.0328	0	0	0	4.6079	4.9147	1.8346	48.854	78.94	3.2992
19.3509	12.0716	0	0	0	37.8429	47.7302	9.5343	63.776	79.22	2.2246
21.4237	12.0468	0	0	0	28.4012	31.2111	8.7248	54.578	79.15	2.5151
22.0021	12.0526	0	0	0	16.5234	17.2949	6.1577	50.211	78.92	2.5285
22.0146	12.0513	0	0	0	7.4479	8.836	3.3182	48.952	78.93	3.404
22.353	12.046	0	0	0	4.6401	4.136	1.6789	48.772	78.93	3.2006
13.6967	11.7706	0	0	0	44.2535	45.8953	9.9072	51.28	83.77	1.512
17.0425	11.9192	0	0	0	32.0041	33.2426	8.3331	48.43	80.84	1.6022
21.0527	12.009	0	0	0	17.2033	19.2682	5.707	44.533	79.15	2.5675
22.3557	12.0419	0	0	0	9.1987	10.2527	3.1531	42.933	78.89	3.6218
22.3435	12.0471	0	0	0	5.2154	4.7459	1.393	42.631	78.87	3.1942
16.9912	12.039	0	0	0	46.3263	53.0544	10.756	61.537	79.71	1.6381
20.0813	12.0111	0	0	0	37.2863	35.7352	9.7572	51.622	79.12	2.2923
21.793	12.0203	0	0	0	21.5972	20.2637	7.0946	45.322	78.89	2.4461
22.3527	12.0314	0	0	0	11.1561	10.5535	3.7794	43.013	78.86	3.3494
22.3618	12.0289	0	0	0	5.8364	5.0312	1.7984	42.672	78.87	3.245
12.725	11.6052	0	0	0	33.1348	36.3337	5.8996	44.147	85.87	1.4398
15.6161	11.9083	0	0	0	21.2004	27.1151	5.1292	44.704	82.41	1.9243
19.0978	12.0026	0	0	0	12.2043	15.6649	3.3652	43.682	79.5	2.0111
20.8006	12.0228	0	0	0	7.1435	8.4293	2.0157	42.775	78.94	3.1406
22.087	12.0333	0	0	0	4.6619	4.1004	1.1385	42.609	78.87	3.1575
4.9725	4.6334	0	0	0	35.8148	30.8747	4.0352	35.729	87.58	1.9615
15.2985	11.8304	0	0	0	20.5539	24.9277	3.8485	42.38	84.57	1.8243
19.4129	11.9752	0	0	0	11.8752	14.9378	2.5271	43.606	80.33	2.8405
21.9573	12.0481	0	0	0	7.4727	7.914	1.531	42.852	79.02	3.1538
22.1016	12.0429	0	0	0	5.0588	4.0855	1.015	42.429	78.88	3.2827
18.9159	12.0176	0	0	0	39.6004	52.3239	6.0491	49.22	79.17	2.1754
21.2416	12.0348	0	0	0	22.2577	32.7085	4.5034	44.129	79.02	2.4233
22.3158	12.0316	0	0	0	11.5616	18.07	2.7936	43.088	78.89	3.3521
22.3527	12.0425	0.001	0.1523	0	6.5977	9.5804	1.6425	42.614	78.86	3.0806
22.3393	12.032	0.002	0.1971	0	4.3755	4.6131	1.06	42.466	78.86	3.5618
12.208	11.3029	0	0	0	21.0756	37.142	6.9275	66.298	83.06	1.7192
14.1944	11.6557	0	0	0	14.0872	26.578	4.8938	64.363	80.82	2.7298
16.7927	11.853	0	0	0	10.2837	16.1737	2.9895	48.543	79.16	2.881
18.8731	11.9797	0	0	0	6.3884	8.2165	1.8178	43.336	78.9	2.8814
20.9323	12.0126	0	0	0	4.1847	4.0676	1.0306	42.619	78.87	3.4516
4.2058	4.6838	0	0	0	42.1841	36.3569	3.539	39.362	92.58	1.8668
14.3308	11.7945	0	0	0	24.8139	27.0058	3.4662	43.25	87.96	1.6262
17.1814	11.8974	0	0	0	14.0734	15.6972	2.5223	44.018	81.61	2.8799
19.9801	12.01	0	0	0	8.1413	8.2706	1.4622	42.904	79.21	3.2628
21.8706	12.0371	0	0	0	5.0442	4.1529	1.0037	42.544	78.9	3.2827
15.5909	11.7131	0	0	0	42.3866	57.9853	9.5513	59.749	81.97	1.5502
17.4811	11.8978	0	0	0	31.0947	37.4894	8.0292	50.341	79.64	1.7252
19.4598	11.9586	0	0	0	17.6345	21.1993	5.58	44.979	78.94	2.2835
21.588	12.0182	0	0	0	9.8621	11.3482	2.9847	42.967	78.88	3.6089
22.3991	12.0389	0	0	0	5.1985	5.498	1.4818	42.518	78.87	3.2078
20.3196	12.0452	0	0	0	34.4692	46.8382	8.5809	62.195	79.03	2.3601
22.0575	12.0308	0	0	0	27.4929	30.4429	7.6973	50.268	78.96	2.4687
22.3617	12.0416	0	0	0	17.6314	16.9345	5.3543	44.335	78.87	2.5675
22.3423	12.0393	0	0	0	9.3934	8.6262	2.8882	42.955	78.85	3.6128
22.3725	12.0407	0	0	0	5.3205	3.9897	1.5112	42.56	78.86	3.164
12.5151	11.5653	0	0	0	45.1122	46.4987	11.8131	51.114	83.96	1.4654
15.8132	11.7389	0	0	0	35.2249	33.5764	10.1647	48.023	80.87	1.6118
17.5597	11.9297	0	0	0	19.5472	19.3571	7.0882	44.01	78.89	1.7613
21.219	12.0226	0	0	0	10.1525	10.2782	4.0069	42.517	78.59	3.3311
22.3629	12.0476	0	0	0	5.977	4.7739	1.7346	42.094	78.57	3.1467
15.1218	12.0737	0	0	0	49.5417	53.4872	12.7391	61.961	79.7	1.6687
17.9406	11.9959	0	0	0	39.8125	35.993	11.5177	51.571	78.96	1.9137
20.5456	12.0146	0	0	0	25.4786	20.352	8.5758	44.933	78.59	2.5151
22.3462	12.0541	0	0	0	12.89	10.6129	4.6769	42.624	78.57	2.9063
22.3757	12.0763	0	0	0	6.3302	5.0415	2.183	42.021	78.56	3.2948
13.2248	11.6386	0	0	0	36.6461	36.3902	7.795	43.351	85.9	1.512
16.0897	11.8918	0	0	0	23.0298	26.9976	6.8084	44.987	82.36	2.0808
19.3149	11.9895	0	0	0	12.3201	15.6365	4.4325	43.497	79.31	2.4683
21.8086	12.0307	0	0	0	7.7072	8.4536	2.6473	42.409	78.64	3.4175
22.3036	12.0554	0	0	0	5.6485	4.1173	1.4866	42.019	78.57	3.1487
4	1.7823	0.001	0	0	34.5838	29.7398	4.7112	36.693	87.42	1.9615
13.095	11.5946	0	0	0	21.1749	23.903	4.9393	42.277	84.49	2.2701
15.9413	11.8563	0	0	0	12.0377	14.5326	3.2718	43.734	80.2	2.6794
19.6404	11.9977	0	0	0	8.316	7.6655	1.993	42.312	78.74	3.0682
22.3219	12.0581	0	0	0	5.9204	3.9702	1.3074	42.074	78.58	3.2597
11.8854	14.3093	0.002	0	0	44.3249	48.9079	7.0914	54.852	80.71	1.8193
21.1199	12.0147	0	0	0	25.1457	32.063	5.6269	43.89	78.94	2.5005
22.3664	12.0362	0	0	0	14.4861	17.8876	3.5015	42.731	78.78	2.5818
22.3652	12.0456	0	0	0	8.0677	9.2344	1.9744	42.122	78.56	3.2184
22.3429	12.054	0	0	0	4.717	4.5122	1.1922	41.958	78.57	3.1895
9.7205	9.3852	0	0	0	23.7103	31.6402	8.1496	66.466	83.43	1.6767
14.5149	11.7576	0.006	0	0	16.6313	23.6026	6.3169	63.6	81.29	2.3552
16.8457	11.8827	0.001	0	0	12.5355	14.0007	3.9666	48.963	79.05	3.0469
20.0149	11.9713	0.001	0	0	8.575	7.2544	2.4928	42.162	78.62	2.7498
22.363	12.0609	0	0	0	5.4098	3.35	1.2772	42.041	78.57	3.2133
11.3836	11.4132	0	0	0	25.396	26.9637	4.3962	43.348	88.05	1.7382
14.7432	11.8585	0	0	0	13.8767	15.5113	3.2437	44.276	81.42	2.878
17.6296	11.957	0	0	0	9.0887	8.1894	1.9117	42.677	78.93	3.9533
20.2243	12.0014	0	0	0	5.8101	4.0994	1.2307	41.874	78.6	3.2727
13.4669	11.8167	0	0	0	45.5291	54.632	11.7111	57.572	82.17	1.4849
15.9655	11.9025	0	0	0	34.4416	35.5901	10.0543	48.838	79.56	1.6118
19.7117	12.0001	0	0	0	20.7005	19.9506	7.1671	43.679	78.64	2.292
22.3517	12.0632	0	0	0	10.8859	10.6077	3.8782	42.235	78.57	3.3494
22.3072	12.0702	0	0	0	5.8867	5.0748	1.7746	42.082	78.57	3.268
18.3459	12.0231	0	0	0	37.6876	47.9707	9.988	62.089	79.11	1.858
21.9486	12.0229	0	0	0	29.9978	30.8046	9.2269	50.313	78.83	2.4798
22.3208	12.0435	0	0	0	19.1911	17.0217	6.5608	43.732	78.58	2.589
22.3669	12.0654	0	0	0	10.2967	8.6644	3.5446	42.391	78.56	3.4513
22.346	12.0492	0	0	0	5.7218	4.0451	1.8353	42.017	78.56	3.2596
20.3484	11.9384	0	0	0	46.6624	47.8719	13.143	53.321	84.42	2.253
21.3306	12.0019	0	0	0	32.0516	35.8558	11.0846	54.184	81.98	2.3937
21.8466	12.0231	0	0	0	19.6802	20.8503	7.6058	50.778	80.28	2.5289
22.1056	12.0214	0	0	0	9.9744	11.0707	4.3135	48.443	79.88	3.3198
22.1952	12.0343	0	0	0	5.3037	5.2345	2.0843	47.898	79.83	3.4144
20.3545	12.087	0	0	0	50.0528	56.6242	13.7052	61.347	80.11	2.253
21.9656	12.0498	0	0	0	38.161	38.4192	12.1064	58.573	80.3	2.2774
22.1682	12.0343	0	0	0	23.1879	21.795	9.0919	51.585	79.96	2.5286
22.2111	12.0275	0	0	0	10.556	11.5021	5.4123	48.61	79.85	3.1882
22.1966	12.026	0	0	0	5.1551	5.4964	2.8579	47.75	79.82	3.5881
19.6087	11.8077	0	0	0	33.4047	36.4571	9.5832	47.207	86.33	2.3101
21.6816	12.0024	0	0	0	21.6713	29.0471	8.4044	50.87	83.47	2.5128
22.1406	12.0306	0	0	0	14.3275	17.3509	5.2994	49.79	80.67	2.5795
22.1181	12.0234	0	0	0	9.5415	9.0253	3.0421	48.107	79.92	3.6256
22.1765	12.0287	0	0	0	5.6389	4.5561	1.667	47.681	79.84	3.2584
16.2702	11.7967	0	0	0	41.7751	34.1861	7.2888	36.137	87.86	1.7379
19.7566	11.9384	0	0	0	20.0982	26.1152	6.5452	47.415	85.54	2.346
21.6877	12.02	0	0	0	13.4864	16.0813	4.1723	49.639	81.46	2.9302
22.0116	12.0313	0	0	0	10.0891	8.4533	2.2692	48.043	80.03	3.4274
22.0829	12.0283	0	0	0	6.5535	4.3633	1.3149	47.435	79.85	3.0844
10.174	12.9532	0.01	0	0	43.8325	51.9811	8.0893	58.798	81.5	1.7664
12.3313	13.1679	0	0	0	43.2088	40.9636	7.8843	52.863	79.35	1.7359
22.2765	12.0358	0	0	0	14.1303	20.0499	4.1332	48.259	79.9	2.5565
22.22	12.0412	0	0	0	7.2831	10.6055	2.4509	47.809	79.84	3.3248
22.0904	12.0204	0.001	0.1625	0	3.9599	5.1813	1.5937	47.693	79.82	3.3914
12.4817	9.3562	0.002	0	0	29.0447	35.879	9.3786	72.786	84.24	1.512
22.0118	12.0132	0.001	0	0	16.9464	25.2124	7.1648	65.906	81.99	2.5262
22.1905	12.0332	0.001	0	0	12.2706	15.126	4.4584	53.171	80.41	3.0622
22.1705	12.0423	0	0	0	7.8291	7.9421	2.6289	48.295	80.02	3.3467
22.2175	12.0337	0	0	0	4.711	3.6023	1.6341	47.8	79.87	3.2238
10.2474	11.2846	0	0	0	45.4474	36.9665	7.0545	44.949	93.12	1.7368
18.522	11.9706	0	0	0	24.7171	28.5189	6.1351	49.856	89.05	1.7498
21.1981	12.0037	0	0	0	16.1812	16.7701	4.4467	49.686	82.74	2.5786
22.0949	12.0378	0	0	0	11.027	8.8067	2.1408	47.956	80.19	3.1349
22.1841	12.0344	0	0	0	5.8906	4.4548	1.1393	47.385	79.87	3.3406
16.0721	11.7795	0	0	0	40.3026	55.3118	13.4707	67.778	86.47	1.9624
22.1244	12.0315	0	0	0	33.4334	39.493	10.2767	54.953	80.81	2.3864
22.2576	12.0379	0	0	0	19.8419	22.1821	7.232	50.366	80.01	2.5411
22.1911	12.0284	0	0	0	9.4703	11.8609	4.2435	48.329	79.86	3.3221
22.1811	12.0395	0	0	0	4.5518	5.8	2.2578	47.679	79.83	3.5744
